"KENYA IEBC ADMINISTRATIVE UNITS - Counties, Constituencies & Wards (2022 General Election)",,,,,,
"Source: Independent Electoral and Boundaries Commission (IEBC) - Registered Voters per County Assembly Ward, 2022 General Election",,,,,,
County Code,County Name,Constituency Code,Constituency Name,Ward Code,Ward Name,Registered Voters
1,MOMBASA,1,CHANGAMWE,1,PORT REITZ,17817
1,MOMBASA,1,CHANGAMWE,2,KIPEVU,16132
1,MOMBASA,1,CHANGAMWE,3,AIRPORT,18557
1,MOMBASA,1,CHANGAMWE,4,CHANGAMWE,18182
1,MOMBASA,1,CHANGAMWE,5,CHAANI,22873
1,MOMBASA,2,JOMVU,6,JOMVU KUU,24243
1,MOMBASA,2,JOMVU,7,MIRITINI,18048
1,MOMBASA,2,JOMVU,8,MIKINDANI,32794
1,MOMBASA,3,KISAUNI,9,MJAMBERE,22692
1,MOMBASA,3,KISAUNI,10,JUNDA,25602
1,MOMBASA,3,KISAUNI,11,BAMBURI,20470
1,MOMBASA,3,KISAUNI,12,MWAKIRUNGE,6423
1,MOMBASA,3,KISAUNI,13,MTOPANGA,19474
1,MOMBASA,3,KISAUNI,14,MAGOGONI,15105
1,MOMBASA,3,KISAUNI,15,SHANZU,25510
1,MOMBASA,4,NYALI,16,FRERE TOWN,24849
1,MOMBASA,4,NYALI,17,ZIWA LA NG'OMBE,23296
1,MOMBASA,4,NYALI,18,MKOMANI,24154
1,MOMBASA,4,NYALI,19,KONGOWEA,28846
1,MOMBASA,4,NYALI,20,KADZANDANI,23108
1,MOMBASA,5,LIKONI,21,MTONGWE,13937
1,MOMBASA,5,LIKONI,22,SHIKA ADABU,15437
1,MOMBASA,5,LIKONI,23,BOFU,18188
1,MOMBASA,5,LIKONI,24,LIKONI,13273
1,MOMBASA,5,LIKONI,25,TIMBWANI,33929
1,MOMBASA,6,MVITA,26,MJI WA KALE/MAKADARA,22341
1,MOMBASA,6,MVITA,27,TUDOR,22926
1,MOMBASA,6,MVITA,28,TONONOKA,23379
1,MOMBASA,6,MVITA,29,SHIMANZI/GANJONI,18556
1,MOMBASA,6,MVITA,30,MAJENGO,31772
2,KWALE,7,MSAMBWENI,31,GOMBATO BONGWE,20551
2,KWALE,7,MSAMBWENI,32,UKUNDA,24331
2,KWALE,7,MSAMBWENI,33,KINONDO,13463
2,KWALE,7,MSAMBWENI,34,RAMISI,23916
2,KWALE,8,LUNGALUNGA,35,PONGWE/KIKONENI,18833
2,KWALE,8,LUNGALUNGA,36,DZOMBO,14688
2,KWALE,8,LUNGALUNGA,37,MWERENI,15589
2,KWALE,8,LUNGALUNGA,38,VANGA,15744
2,KWALE,9,MATUGA,39,TSIMBA GOLINI,20453
2,KWALE,9,MATUGA,40,WAA,20681
2,KWALE,9,MATUGA,41,TIWI,11016
2,KWALE,9,MATUGA,42,KUBO SOUTH,12087
2,KWALE,9,MATUGA,43,MKONGANI,18778
2,KWALE,10,KINANGO,44,NDAVAYA,12743
2,KWALE,10,KINANGO,45,PUMA,9844
2,KWALE,10,KINANGO,46,KINANGO,15597
2,KWALE,10,KINANGO,47,MACKINNON ROAD,14214
2,KWALE,10,KINANGO,48,CHENGONI/SAMBURU,15037
2,KWALE,10,KINANGO,49,MWAVUMBO,16243
2,KWALE,10,KINANGO,50,KASEMENI,14445
3,KILIFI,11,KILIFI NORTH,51,TEZO,14830
3,KILIFI,11,KILIFI NORTH,52,SOKONI,23955
3,KILIFI,11,KILIFI NORTH,53,KIBARANI,15655
3,KILIFI,11,KILIFI NORTH,54,DABASO,13717
