Facility Name,Registration No,License Number,Ownership,Establishment Year,Street,County,Licence Status,Facility Status,Valid Till
AMALGAMCHEM PHARMACY (Nyeri),PPB/A/2932,BU202600277,PARTNERSHIP,2022,CLASSIC ROAD,Nyeri,VALID,ACTIVE,2026-12-31
BRANSON AND BRANSON PHARMACEUTICALS LTD -  PARKLANDS,PPB/B/7370,BU202607053,PARTNERSHIP,2023,PARKLANDS ROAD,Nairobi,VALID,ACTIVE,2026-12-31
CARING-WAY PHARMA (Kiambu),PPB/C/9222,BU202601853,SOLE PROPRIETOR,2022,KIAMBU ROAD,Kiambu,VALID,ACTIVE,2026-12-31
CENTELLA THERAPY LIMITED,PPB/C/9435,BU202607408,PRIVATE COMPANY (LIMITED),2024,MARA ROAD,,VALID,ACTIVE,2026-12-31
CROSWELL PHARMACY LIMITED-KAMAKIS,PPB/C/9512,BU202606505,PARTNERSHIP,2025,BY PASS KAMAKIS,,VALID,ACTIVE,2026-12-31
ELDOHOPE CHEMIST (Uasin Gishu),PPB/E/1247,BU202601553,SOLE PROPRIETOR,2020,ELDORET-NAKURU HIGHWAY,Uasin Gishu,VALID,ACTIVE,2026-12-31
JOSKEM CHEMIST,PPB/J/9163,BU202606007,PARTNERSHIP,2023,KANGUNDO ROAD,Machakos,VALID,ACTIVE,2026-12-31
LESAJA CHEMIST,PPB/L/943,BU202607339,SOLE PROPRIETOR,2021,KISII,Kiambu,VALID,ACTIVE,2026-12-31
MTALIANO PHARMACEUTICALS LIMITED (Nairobi),PPB/M/9345,BU202607551,PRIVATE COMPANY (LIMITED),2021,LATEMA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
MWANGA WA AFYA PHARMACY,PPB/M/10194,BU202600538,SOLE PROPRIETOR,2025,MUYEYE ROAD,,VALID,ACTIVE,2026-12-31
ORYPHARM  PHARMACEUTICALS - SOUTH B -,PPB/O/1101,BU202606805,PARTNERSHIP,2015,KAPITI ROAD,Nairobi,VALID,ACTIVE,2026-12-31
PHARMA & ALLIED LOGISTICS LTD - CHUKA  (Tharaka Nithi),PPB/P/4829,BU202600670,PARTNERSHIP,2022,EMBU MERU ROAD,Tharaka Nithi,VALID,ACTIVE,2026-12-31
PHARMA & ALLIED LOGISTICS LTD- OTHAYA (Nyeri),PPB/H/0141 C,BU202600666,PRIVATE COMPANY (LIMITED),2013,STAGE STREET,Nyeri,VALID,ACTIVE,2026-12-31
SAINARD PHARMACEUTICALS LIMITED (Nairobi),PPB/S/9069,BU202604483,PARTNERSHIP,2022,38 MUTHANGARI ROAD,Nairobi,VALID,ACTIVE,2026-12-31
SAWACARE PHARMACY (Kiambu),PPB/S/1747,BU202603397,SOLE PROPRIETOR,2021,MATANGI - JUNCTION ROAD,Kiambu,VALID,ACTIVE,2026-12-31
SHARBMED PHARMACY,PPB/S/9463,BU202601725,SOLE PROPRIETOR,2025,HIGHLANDS ROAD,,VALID,ACTIVE,2026-12-31
SOGGLA CHEMIST,PPB/S/9049,BU202604052,SOLE PROPRIETOR,2021,KOMAROCK ROAD,Nairobi,VALID,ACTIVE,2026-12-31
VOSLAB CHEMIST - KIAMBU (Kiambu),PPB/V/395,BU202600893,SOLE PROPRIETOR,2016,GATUNDU JUJA ROAD,Kiambu,VALID,ACTIVE,2026-12-31
WELL HEALTH PHARMACY,PPB/W/7550,BU202605270,SOLE PROPRIETOR,2025,MATHIGU ROAD,,VALID,ACTIVE,2026-12-31
WEST CONGO PHARMACY LIMITED (Nairobi),PPB/C/9301,BU202600633,PRIVATE COMPANY (LIMITED),2023,KAMITI ROAD,Nairobi,VALID,ACTIVE,2026-12-31
4CKJCHEM LTD-KARASANI,PPB/4/5,BU202603220,PARTNERSHIP,2025,DUBOIS  ROAD,,VALID,ACTIVE,2026-12-31
4C\'S PHARMACY LTD-KONGOWEA (Mombasa),PPB/4/4,BU202607301,PRIVATE COMPANY (LIMITED),2024,KONGOWEA KARAMA ROAD,Mombasa,VALID,ACTIVE,2026-12-31
4G HEALTHCARE PHARMACY LTD,PPB/4/3,BU202602064,SOLE PROPRIETOR,2023,SEVENTH STREET,Nairobi,VALID,ACTIVE,2026-12-31
7 DAYS PHARMACY,PPB/7/1,BU202604726,SOLE PROPRIETOR,2023,ISIOLO-MERTI ROAD,,VALID,ACTIVE,2026-12-31
A TO Z PHARMACY LIMITED (Kisumu),PPB/A/085,BU202607658,PRIVATE COMPANY (LIMITED),2007,ANGAWA AVENUE,Kisumu,VALID,ACTIVE,2026-12-31
A-LIFE PHARMACY,PPB/A/3043,BU202605963,PRIVATE COMPANY (LIMITED),2023,MBAGATHI ROAD,Nairobi,VALID,ACTIVE,2026-12-31
A-LIFE PHARMACY EASTLEIGH,PPB/A/3185,BU202604683,PRIVATE COMPANY (LIMITED),2023,YUSUF HAJI AVENUE,,VALID,ACTIVE,2026-12-31
AAKASH PHARMACY LTD (Kakamega),PPB/A/213,BU202600402,PARTNERSHIP,2016,KENYATTA AV,Kakamega,VALID,ACTIVE,2026-12-31
AARAN PHARMACEUTICALS LIMITED,PPB/A/2952,BU202607330,PARTNERSHIP,2022,SECOND AVENUEUE,Nairobi,VALID,ACTIVE,2026-12-31
ABAAHI PHARMA  (Kajiado),PPB/A/441,BU202601225,SOLE PROPRIETOR,2013,KISERIAN RD,Kajiado,VALID,ACTIVE,2026-12-31
ABADAN MEDICAL CENTRE LTD  (Meru),PPB/A/3282,BU202601523,SOLE PROPRIETOR,2025,MAASAI MARA UNIVERSITY ROAD,Meru,VALID,ACTIVE,2026-12-31
ABBYLYNN CHEMIST,PPB/A/2928,BU202603156,SOLE PROPRIETOR,2022,KUTUS KERUGUYA,Kirinyaga,VALID,ACTIVE,2026-12-31
ABEKAM CHEMIST,PPB/A/3306,BU202602604,SOLE PROPRIETOR,2025,KAMBITI,,VALID,ACTIVE,2026-12-31
ABERCHEM PHARMACEUTICALS (Nyandarua),PPB/A/1668,BU202600749,SOLE PROPRIETOR,2017,ENGINEER NDUNYU NJERU ROAD,Nyandarua,VALID,ACTIVE,2026-12-31
ABERDARES BEST CHEMIST (Murang'a),PPB/A/220,BU202601076,SOLE PROPRIETOR,2010,THIKA ROAD,Murang'a,VALID,ACTIVE,2026-12-31
ABERDEEN PHARMACY-EMBU (Embu),PPB/A/175B,BU202603727,PARTNERSHIP,0000,OFF KUBUKUBU ROAD,Embu,VALID,ACTIVE,2026-12-31
ABIMED EXCEL PHARMACY (Laikipia),PPB/A/1828,BU202600824,SOLE PROPRIETOR,2018,HOSPITAL  ROAD,Laikipia,VALID,ACTIVE,2026-12-31
ABIPHARM CHEMIST (Kirinyaga),PPB/A/1552,BU202607217,SOLE PROPRIETOR,2014,NAIROBI MERU HIGHWAY,Kirinyaga,VALID,ACTIVE,2026-12-31
ABISHAM PHARMACY,PPB/A/3035,BU202605541,PARTNERSHIP,2023,KIKUYU ROAD,Kiambu,VALID,ACTIVE,2026-12-31
ABRAAR ANNEX PHARMA LIMITED,PPB/A/3214,BU202601552,PARTNERSHIP,2024,CUTLINE ROAD,,VALID,ACTIVE,2026-12-31
ABRAPHARMA PHARMACEUTICALS KASARANI (Nairobi),PPB/A/326,BU202605519,SOLE PROPRIETOR,2014,SANTON STREET,Nairobi,VALID,ACTIVE,2026-12-31
ACACIA STARS PHARMACEUTICALS CHEMIST (Nyandarua),PPB/A/1649,BU202602137,PARTNERSHIP,2017,MURUNGARU NAIVASHA TO NDUNYU NJERU HIGHW,Nyandarua,VALID,ACTIVE,2026-12-31
ACCESS SALPHARM CARE (Kiambu),PPB/A/1568,BU202605779,SOLE PROPRIETOR,2016,KAHAWA WENDANI,Kiambu,VALID,ACTIVE,2026-12-31
ACCORD MEDICARE PHARMACY (Kiambu),PPB/A/512,BU202602756,SOLE PROPRIETOR,2015,GREEN VALLEY ESTATE,Kiambu,VALID,ACTIVE,2026-12-31
ACCRA PHARMACY LTD - OPPOSITE MLK HOSP (Nairobi),PPB/A/407,BU202603738,PRIVATE COMPANY (LIMITED),2015,SPINE RD,Nairobi,VALID,ACTIVE,2026-12-31
ACCRA PHARMACY LTD HAKATI (Nairobi),PPB/A/1970,BU202603734,PARTNERSHIP,2021,HAKATI ROAD,Nairobi,VALID,ACTIVE,2026-12-31
ACCULYNX CHEMIST,PPB/A/3221,BU202601776,SOLE PROPRIETOR,2024,KIGUATHI ROAD,,VALID,ACTIVE,2026-12-31
ACE CARE PHARMACEUTICALS LIMITED (Kajiado),PPB/A/1941,BU202607218,PRIVATE COMPANY (LIMITED),2019,NAIVAS OILIBYA RIRUTA,Kajiado,VALID,ACTIVE,2026-12-31
ACE CARE PHARMACEUTICALS LIMITED.,PPB/A/3350,BU202604431,PARTNERSHIP,2019,MIREMA DRIVE,,VALID,ACTIVE,2026-12-31
ACELLE PHARMACY,PPB/A/3382,BU202601174,SOLE PROPRIETOR,2024,MAJIMAZURI,,VALID,ACTIVE,2026-12-31
ACHEMI PHARMACY,PPB/A/3130,BU202607708,SOLE PROPRIETOR,2024,WEBUYE -KITALE ROAD,,VALID,ACTIVE,2026-12-31
ACHIES PHARMACEUTICAL FEDHA,PPB/A/3277,BU202601008,SOLE PROPRIETOR,2025,12022,,VALID,ACTIVE,2026-12-31
ACHIRAL PHARMACEUTICALS (Laikipia),PPB/A/317,BU202600835,SOLE PROPRIETOR,1914,MATHENGE ROAD,Laikipia,VALID,ACTIVE,2026-12-31
ACHOMED PHARMACEUTICALS,PPB/A/3190,BU202600498,SOLE PROPRIETOR,2024,LEMISO,,VALID,ACTIVE,2026-12-31
ACTIVE CARE PHARMACEUTICALS (Siaya),PPB/A/1716,BU202602822,SOLE PROPRIETOR,2017,OFF SIAYA -LUANDA,Siaya,VALID,ACTIVE,2026-12-31
ADALINE PHARMACEUTICAL LIMITED (Bungoma),PPB/A/1870,BU202600028,PRIVATE COMPANY (LIMITED),2019,WEBUYE-MALABA HIGHWAY,Bungoma,VALID,ACTIVE,2026-12-31
ADAMANT LOGISTICS SOLUTION,None,BU202604633,PRIVATE COMPANY (LIMITED),,,Machakos,VALID,ACTIVE,2026-12-31
ADAN PHARMACY (Machakos),PPB/A/1889,BU202605255,SOLE PROPRIETOR,2019,ALONG  NG'ONDU ROAD,Machakos,VALID,ACTIVE,2026-12-31
ADEMED PHARMACY,PPB/A/3378,BU202600397,SOLE PROPRIETOR,2025,NYERI MWEIGA NYAHURURU ROAD,,VALID,ACTIVE,2026-12-31
ADHI PHARMACY LIMITED (Isiolo),PPB/A/1835,BU202604594,SOLE PROPRIETOR,2011,MARSABIT ROAD,Isiolo,VALID,ACTIVE,2026-12-31
ADISMO MEDICAL FACILITY,PPB/A/3328,BU202602221,SOLE PROPRIETOR,2025,UHURU ROAD,,VALID,ACTIVE,2026-12-31
ADMART PHARMACY (Makueni),PPB/A/,BU202603259,SOLE PROPRIETOR,2014,WOTE-KALAWA,Makueni,VALID,ACTIVE,2026-12-31
ADMART PHARMACY-TM,PPB/A/3145,BU202604835,SOLE PROPRIETOR,2024,WOTE-MAKINDU ROAD,,VALID,ACTIVE,2026-12-31
ADMED PHARMACY LIMITED,PPB/A/3235,BU202600728,SOLE PROPRIETOR,2024,CATHERINE NDEREBA ROAD,,VALID,ACTIVE,2026-12-31
ADOH- PHARMACY,PPB/A/3304,BU202603496,SOLE PROPRIETOR,2025,MASARA MIGORI,,VALID,ACTIVE,2026-12-31
ADORIZA PHARMACY AND MEDICAL,PPB/A/3256,BU202600507,SOLE PROPRIETOR,2024,IFTIN,,VALID,ACTIVE,2026-12-31
ADVACARE CHEMISTS,PPB/A/3134,BU202605829,SOLE PROPRIETOR,2023,CHARO WA MAE,,VALID,ACTIVE,2026-12-31
ADVACARE SANDALWOOD PHARMACY,PPB/A/3244,BU202606588,PARTNERSHIP,2024,NAMANGA ROAD,,VALID,ACTIVE,2026-12-31
ADVAN-MED PHARMACEUTICALS (Nyamira),PPB/A/1930,BU202601010,PARTNERSHIP,2020,KISII NYAMIRA ROAD,Nyamira,VALID,ACTIVE,2026-12-31
ADWELL PHARMACY,PPB/A/3040,BU202607631,SOLE PROPRIETOR,2023,MOI AVENUE,Kisii,VALID,ACTIVE,2026-12-31
AFFINITY MEDICINE HEALTHCARE LIMITED (Nairobi),PPB/A/2891,BU202602490,SOLE PROPRIETOR,2021,LUMUMBA DRIVE,Nairobi,VALID,ACTIVE,2026-12-31
