Facility Name,Registration No,License Number,Ownership,License Type,Establishment Year,Street,County,Licence Status,Facility Status,Valid Till
PHILMED LIMITED - BUSIA,PPB/P/5015,BU202607325,SOLE PROPRIETOR,WHOLESALE,2024,OPPOSITE BUSIA STADIUM,,VALID,ACTIVE,2026-12-31
AB PHARMACEUTICALS LTD (Nairobi),PPB/A/435,BU202607638,PRIVATE COMPANY (LIMITED),WHOLESALE,2013,3 AVENUE PARKLAND,Nairobi,VALID,ACTIVE,2026-12-31
ABACUS PHARMA (A) LTD (Nairobi),PPB/A/006,BU202603037,PRIVATE COMPANY (LIMITED),WHOLESALE,1995,OFF BABA DOGO ROAD,Nairobi,VALID,ACTIVE,2026-12-31
ABC - PHARMACY LIMITED (Kiambu),PPB/A/944,BU202606242,PRIVATE COMPANY (LIMITED),WHOLESALE,2015,KIHARA-GACHIE ROAD,Nairobi,VALID,ACTIVE,2026-12-31
ACCORD HEALTHCARE (K) LTD (Nairobi),PPB/A/81,BU202604051,PRIVATE COMPANY (LIMITED),WHOLESALE,1914,FOREST RD,Nairobi,VALID,ACTIVE,2026-12-31
ACE PHARMACEUTICALS LTD (Nairobi),PPB/A/240,BU202604519,SOLE PROPRIETOR,WHOLESALE,2020,"ICD ROAD, OFF MOMBASA ROAD",Nairobi,VALID,ACTIVE,2026-12-31
ACOTON LIMITED-CABY,PPB/A/3227,BU202607635,PRIVATE COMPANY (LIMITED),WHOLESALE,2018,MACHAKOS ROAD,,VALID,ACTIVE,2026-12-31
ADAKIM CHEMIST 2010 LTD (Kericho),PPB/A/159,BU202603290,PRIVATE COMPANY (LIMITED),WHOLESALE,2010,"TEMPLE ROAD, KERICHO",Kericho,VALID,ACTIVE,2026-12-31
ADDISS PHARMACY,PPB/A/3329,BU202605554,SOLE PROPRIETOR,WHOLESALE,2025,BIASHARA STREET,,VALID,ACTIVE,2026-12-31
ALPHA MEDICAL MANUFACTURERS LTD (Nairobi),PPB/A/257,BU202604130,PARTNERSHIP,WHOLESALE,1989,OFF ENTERPRISE RD,Nairobi,VALID,ACTIVE,2026-12-31
AMEX HEALTHCARE KENYA SEZ LIMITED,PPB/A/3250,BU202605611,PRIVATE COMPANY (LIMITED),WHOLESALE,2024,EASTERN BYPASS ROAD,,VALID,ACTIVE,2026-12-31
ANSELL PHARMACEUTICALS LTD (Kiambu),PPB/A/214,BU202603791,PARTNERSHIP,WHOLESALE,0000,UTHIRU 87 STAGE,Kiambu,VALID,ACTIVE,2026-12-31
APOLLO PHARMACEUTICALS LTD (Nairobi),PPB/A/2945,BU202604749,PRIVATE COMPANY (LIMITED),WHOLESALE,2022,TOM MBOYA STREET,Nairobi,VALID,ACTIVE,2026-12-31
APTUS LIMITED,PPB/A/3368,BU202607907,PRIVATE COMPANY (LIMITED),WHOLESALE,2025,ONGATA RONGAI,,VALID,ACTIVE,2026-12-31
ARABELLA CONSULTANTS LTD,PPB/A/3408,BU202604135,PRIVATE COMPANY (LIMITED),WHOLESALE,2025,WABERA,,VALID,ACTIVE,2026-12-31
ARACHIS PHARMACEUTICALS LTD (Nairobi),PPB/A/1646,BU202605708,PRIVATE COMPANY (LIMITED),WHOLESALE,2017,PROF. GEORGE SAITOTI (FORMERLY SPORTS RO,Nairobi,VALID,ACTIVE,2026-12-31
ARICHEM LIMITED (Nairobi),PPB/A/091,BU202605636,PRIVATE COMPANY (LIMITED),WHOLESALE,1998,OLD NORTH AIRPORT ROAD,Nairobi,VALID,ACTIVE,2026-12-31
ARLANDA PHARMACY-NAIROBI,PPB/A/3347,BU202605225,SOLE PROPRIETOR,WHOLESALE,2020,SPINE ROAD,,VALID,ACTIVE,2026-12-31
ATOM PHARMACEUTICALS LTD-MAIN (Mombasa),PPB/A/032 (A),BU202605575,PARTNERSHIP,WHOLESALE,1995,CHANGAMWE RD,Mombasa,VALID,ACTIVE,2026-12-31
ATSAMY LIMITED,None,BU202603396,PRIVATE COMPANY (LIMITED),WHOLESALE,,,Nairobi,VALID,ACTIVE,2026-12-31
AUM PHARMACEUTICALS LTD - MPAKA HOUSE,PPB/A/3257,BU202606176,PRIVATE COMPANY (LIMITED),WHOLESALE,2023,WOODVALE GROVE,,VALID,ACTIVE,2026-12-31
AUSHNLIFE KENYA LIMITED (Nairobi),PPB/A/3106,BU202604740,PRIVATE COMPANY (LIMITED),WHOLESALE,2023,BABA DOGO ROAD,Nairobi,VALID,ACTIVE,2026-12-31
