Facility Name,Registration No,License Number,Ownership,License Type,Establishment Year,Street,County,Licence Status,Facility Status,Valid Till
EMBU TUMAINI MEDICAL SERVICES,PPB/E/1474,BU202605847,SOLE PROPRIETOR,HOSPITAL,2023,KUBUKUBU ROAD,Embu,VALID,ACTIVE,2026-12-31
EQUITY AFIA ROYSAMBU,PPB/E/1445,BU202604871,PRIVATE COMPANY (LIMITED),HOSPITAL,2022,KAMITI ROAD,Nairobi,VALID,ACTIVE,2026-12-31
KAPKOLEI HEALTH CARE CENTRE,PPB/K/7515,BU202606385,PARTNERSHIP,HOSPITAL,2016,KAPSABET MAIN,,VALID,ACTIVE,2026-12-31
SYNERGY CLINICS LIMITED (Kisumu),PPB/S/9020,BU202605848,PRIVATE COMPANY (LIMITED),HOSPITAL,2022,KISUMU/MUNICIPALITY/ BLOCK 4/ 101,Kisumu,VALID,ACTIVE,2026-12-31
3RD PARK HOSPITAL LTD,PPB/3/4,BU202601556,PRIVATE COMPANY (LIMITED),HOSPITAL,2021,3RD PARKLANDS AVENUE,Nairobi,VALID,ACTIVE,2026-12-31
"AAR  HEALTHCARE LTD-MACHAKOS STREET, MOMBASA (Mombasa)",PPB/A/191,BU202606358,PRIVATE COMPANY (LIMITED),HOSPITAL,2013,MACHAKOS STREET,Mombasa,VALID,ACTIVE,2026-12-31
AAR CITY CENTER CLINIC (Nairobi),PPB/A/190,BU202604964,PARTNERSHIP,HOSPITAL,2014,,Nairobi,VALID,ACTIVE,2026-12-31
AAR EMBAKASI HEALTH CENTRE (Nairobi),PPB/A/478,BU202601593,PRIVATE COMPANY (LIMITED),HOSPITAL,2004,EMBAKASI,Nairobi,VALID,ACTIVE,2026-12-31
AAR HEALTH CARE LTD - DONHOLM (Nairobi),PPB/A/478 B,BU202603092,PRIVATE COMPANY (LIMITED),HOSPITAL,2015,OUTERING ROAD,Nairobi,VALID,ACTIVE,2026-12-31
AAR HEALTHCARE -SARIT (Nairobi),PPB/A/00,BU202601613,PRIVATE COMPANY (LIMITED),HOSPITAL,2003,,Nairobi,VALID,ACTIVE,2026-12-31
AAR HEALTHCARE HOLDINGS LTD - RUAKA (Kiambu),PPB/A/1653,BU202601053,PRIVATE COMPANY (LIMITED),HOSPITAL,2017,LIMURU ROAD,Kiambu,VALID,ACTIVE,2026-12-31
AAR HEALTHCARE KENYA LIMTED - SYOKIMAU (Machakos),PPB/A/1948,BU202600142,PRIVATE COMPANY (LIMITED),HOSPITAL,2018,MOMBASA ROAD,Machakos,VALID,ACTIVE,2026-12-31
AAR HEALTHCARE KENYA LTD LAVINGTON (Nairobi),PPB/A/1918,BU202601057,PRIVATE COMPANY (LIMITED),HOSPITAL,2019,GITANGA ROAD,Nairobi,VALID,ACTIVE,2026-12-31
AAR HEALTHCARE KENYA LTD-BURUBURU OPC (Nairobi),PPB/A/1736,BU202601058,PRIVATE COMPANY (LIMITED),HOSPITAL,2017,MUMIAS SOUTH ROAD,Nairobi,VALID,ACTIVE,2026-12-31
AAR HEALTHCARE KENYA LTD-SOUTH C (Nairobi),PPB/A/1849,BU202606359,PRIVATE COMPANY (LIMITED),HOSPITAL,2018,OLE SHAPARA AVENUE,Nairobi,VALID,ACTIVE,2026-12-31
AAR HEALTHCARE LTD - KISUMU (Kisumu),PPB/A/190E,BU202601056,PRIVATE COMPANY (LIMITED),HOSPITAL,2013,OGINGA ODINGA ROAD,Kisumu,VALID,ACTIVE,2026-12-31
AAR HEALTHCARE LTD ELDORET (Uasin Gishu),PPB/A/347,BU202605849,PRIVATE COMPANY (LIMITED),HOSPITAL,2014,,Uasin Gishu,VALID,ACTIVE,2026-12-31
AAR HEALTHCARE LTD NAKURU (Nakuru),PPB/A/190A,BU202601051,PRIVATE COMPANY (LIMITED),HOSPITAL,2014,,Nakuru,VALID,ACTIVE,2026-12-31
AAR HEALTHCARE LTD WILLIAMSON HOUSE  (Nairobi),PPB/A/174 C,BU202601048,PARTNERSHIP,HOSPITAL,1984,4TH NGONG AVENUE,Nairobi,VALID,ACTIVE,2026-12-31
AAR HEALTHCARE LTD-KAREN (Nairobi),PPB/A/387,BU202601590,PRIVATE COMPANY (LIMITED),HOSPITAL,2012,LANGATA RD,Nairobi,VALID,ACTIVE,2026-12-31
AAR HEALTHCARE LTD-ROYSAMBU (Nairobi),PPB/A/ 190 E,BU202601055,PRIVATE COMPANY (LIMITED),HOSPITAL,2014,ROYSAMBU ST.,Nairobi,VALID,ACTIVE,2026-12-31
AAR HEALTHCARE ONGATA RONGAI HEALTH CENTRE,PPB/A/2909,BU202601596,PRIVATE COMPANY (LIMITED),HOSPITAL,2021,NGONG/ONGATA RONGAI,Kajiado,VALID,ACTIVE,2026-12-31
AAR HEALTHCARE THIKA OUTPATIENT CENTRE,PPB/A/3212,BU202601046,PRIVATE COMPANY (LIMITED),HOSPITAL,2024,KENYATTA AVENUE-THIKA,,VALID,ACTIVE,2026-12-31
AAR HEALTHCARE UTAWALA OUTPATIENT CENTRE,PPB/A/3202,BU202601559,PRIVATE COMPANY (LIMITED),HOSPITAL,2023,EASTERN BYPASS,,VALID,ACTIVE,2026-12-31
AAR HEALTHCARE(K)  LIMITED -KITENGELA OUTPATIENT CENTRE (Kajiado),PPB/A/1692,BU202603061,PRIVATE COMPANY (LIMITED),HOSPITAL,2016,NAIROBI-NAMANGA ROAD,Kajiado,VALID,ACTIVE,2026-12-31
AAR HEALTHCARE-KAMAKIS OUTPATIENT CENTRE,PPB/A/3223,BU202600143,PRIVATE COMPANY (LIMITED),HOSPITAL,2024,EASTERN BY-PASS RUIRU,,VALID,ACTIVE,2026-12-31
AAR HEALTHCARE-NAKURU SECTION 58 OUTPATIENT CENTRE,PPB/A/3211,BU202600144,PRIVATE COMPANY (LIMITED),HOSPITAL,2024,ALONG OGINGA ODINGA STREET,,VALID,ACTIVE,2026-12-31
AAR HEALTHCARE-UNITED MALL OUTPATIENT CENTRE,PPB/A/3081,BU202601060,PRIVATE COMPANY (LIMITED),HOSPITAL,2023,JOMO KENYATTA HIGHWAY,Kisumu,VALID,ACTIVE,2026-12-31
AAR HEALTHCENTRE ADAMS (Nairobi),PPB/A/387,BU202600145,PRIVATE COMPANY (LIMITED),HOSPITAL,2014,,Nairobi,VALID,ACTIVE,2026-12-31
AAR HOSPITAL LIMITED-MUTHAIGA (Nairobi),PPB/A/2011,BU202600129,PRIVATE COMPANY (LIMITED),HOSPITAL,2016,KIAMBU ROAD,Nairobi,VALID,ACTIVE,2026-12-31
AAR MOUNTAIN MALL HEALTH CENTRE (Nairobi),PPB/A/478 A,BU202606360,PRIVATE COMPANY (LIMITED),HOSPITAL,2004,THIKA RD,Nairobi,VALID,ACTIVE,2026-12-31
AAR NGONG CLINIC (Kajiado),PPB/A/1576,BU202601054,PRIVATE COMPANY (LIMITED),HOSPITAL,2015,NGONG ROAD,Kajiado,VALID,ACTIVE,2026-12-31
ABDUL- AZIZ MEDICAL CENTRE,PPB/A/3258,BU202605047,SOLE PROPRIETOR,HOSPITAL,2022,WAJIR NAIROBI ROAD,,VALID,ACTIVE,2026-12-31
ACE NORTHERN HOSPITAL LTD,PPB/A/2875,BU202603584,PRIVATE COMPANY (LIMITED),HOSPITAL,2022,MOMBASA -MALINDI HIGHWAY,Mombasa,VALID,ACTIVE,2026-12-31
ACELA COMMUNITY CLINIC  LIMITED,PPB/A/2109,BU202607047,PRIVATE COMPANY (LIMITED),HOSPITAL,2021,USENGE ROAD,Siaya,VALID,ACTIVE,2026-12-31
ACHANGOO PHARMACY,PPB/A/3164,BU202607785,PARTNERSHIP,HOSPITAL,2024,OBUNGA,,VALID,ACTIVE,2026-12-31
ADVENT MED AND DENT CARE CENTER  (Nakuru),PPB/A/2006,BU202604598,PRIVATE COMPANY (LIMITED),HOSPITAL,2013,TOM MBOYA,Nakuru,VALID,ACTIVE,2026-12-31
AFLAH MEDICAL CENTER (Lamu),PPB/A/2035,BU202605013,PARTNERSHIP,HOSPITAL,2019,MUKOWE -JETTY ROAD,Lamu,VALID,ACTIVE,2026-12-31
AFRICA MUSLIMS AGENCY HEALTH CENTRE THIKA (Kiambu),PPB/A/1983,BU202607103,PRIVATE COMPANY (LIMITED),HOSPITAL,1992,GARISSA NAIROBI ROAD,Kiambu,VALID,ACTIVE,2026-12-31
AFRICARE DISTRIBUTORS KIAMBERE RD,PPB/A/3087,BU202601621,PRIVATE COMPANY (LIMITED),HOSPITAL,2018,KIAMBERE ROAD,Nairobi,VALID,ACTIVE,2026-12-31
AFRIHOSPITAL HOLDINGS LIMITED - PARKLANDS BRANCH,PPB/A/3251,BU202604872,PRIVATE COMPANY (LIMITED),HOSPITAL,2024,LIMURU ROAD,,VALID,ACTIVE,2026-12-31
AFRIHOSPITAL HOLDINGS LIMITED -KISUMU,PPB/A/3260,BU202601663,PRIVATE COMPANY (LIMITED),HOSPITAL,2024,JOMO  KENYATTA HIGHWAY,,VALID,ACTIVE,2026-12-31
AFRIHOSPITAL HOLDINGS LIMITED-MOMBASA .,PPB/A/3411,BU202607534,PRIVATE COMPANY (LIMITED),HOSPITAL,2025,NYERERE ROAD,,VALID,ACTIVE,2026-12-31
AFYA FIRST MEDICAL CENTRE (Mombasa),PPB/A/400,BU202604873,PRIVATE COMPANY (LIMITED),HOSPITAL,2012,SWALEH NGURU RD,Mombasa,VALID,ACTIVE,2026-12-31
AFYA INTERNATIONAL HOSPITAL (Kilifi),PPB/A/1616,BU202600127,PRIVATE COMPANY (LIMITED),HOSPITAL,2015,SULI-SULI MTANGANI,Kilifi,VALID,ACTIVE,2026-12-31
AFYA NURSING HOME LIMITED (Marsabit),PPB/A/1917,BU202607487,PRIVATE COMPANY (LIMITED),HOSPITAL,2012,MOYALE ROAD,Marsabit,VALID,ACTIVE,2026-12-31
AFYAHUB MEDICAL CENTRE,PPB/A/3103,BU202601102,PRIVATE COMPANY (LIMITED),HOSPITAL,2023,KIKUYU RD,Nairobi,VALID,ACTIVE,2026-12-31
AFYALANE MEDICAL CENTRE LIMITED (Nakuru),PPB/A/3008,BU202601107,PRIVATE COMPANY (LIMITED),HOSPITAL,2022,NAKURU-NAIROBI HIGHWAY,Nakuru,VALID,ACTIVE,2026-12-31
AGA KHAN HEALTH SERVICES - BUNGOMA (Bungoma),PPB/A/457 C,BU202605850,PRIVATE COMPANY (LIMITED),HOSPITAL,2013,MUMIAS RD,Bungoma,VALID,ACTIVE,2026-12-31
AGA KHAN HEALTH SERVICES - KERICHO (Kericho),PPB/A/457 B,BU202604874,PRIVATE COMPANY (LIMITED),HOSPITAL,2013,TEMPLE RD,Kericho,VALID,ACTIVE,2026-12-31
AGA KHAN HEALTH SERVICES -BAMBURI-MWISHO (Mombasa),PPB/A/1893,BU202602665,PRIVATE COMPANY (LIMITED),HOSPITAL,2019,OLD MALINDI ROAD,Mombasa,VALID,ACTIVE,2026-12-31
AGA KHAN HEALTH SERVICES KENYA- CHANGAMWE  (Mombasa),PPB/A/1565,BU202602647,PRIVATE COMPANY (LIMITED),HOSPITAL,2015,OLD NAIROBI-MOMBASA ROAD,Mombasa,VALID,ACTIVE,2026-12-31
AGA KHAN HEALTH SERVICES VOI TOWN (Taita Taveta),PPB/A/1884,BU202602661,PRIVATE COMPANY (LIMITED),HOSPITAL,2018,VOI ROAD,Taita Taveta,VALID,ACTIVE,2026-12-31
"AGA KHAN HEALTH SERVICES,KENYA - MALINDI (Kilifi)",PPB/A/397 \\\'D\\\',BU202602666,PRIVATE COMPANY (LIMITED),HOSPITAL,2009,,Kilifi,VALID,ACTIVE,2026-12-31
"AGA KHAN HEALTH SERVICES,KENYA - NYALI MEDICAL CENTRE (Mombasa)",PPB/T/133C,BU202602668,PARTNERSHIP,HOSPITAL,2013,LINKS RD,Mombasa,VALID,ACTIVE,2026-12-31
"AGA KHAN HEALTH SERVICES,KENYA -ELDORET (Uasin Gishu)",PPB/A/198 \\\'F,BU202604875,PRIVATE COMPANY (LIMITED),HOSPITAL,1996,,Uasin Gishu,VALID,ACTIVE,2026-12-31
AGA KHAN HEALTH SERVICES-KITALE (Trans Nzoia),PPB/A/457 A,BU202604876,PRIVATE COMPANY (LIMITED),HOSPITAL,1914,COUNTY COMMISSIONERS,Trans Nzoia,VALID,ACTIVE,2026-12-31
AGA KHAN HEALTH SERVICES-MOMBASA (Mombasa),PPB/T/133,BU202602232,PRIVATE COMPANY (LIMITED),HOSPITAL,2013,VANGA ROAD,Mombasa,VALID,ACTIVE,2026-12-31
